

GENERATION: 59| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 60| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 61| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 62| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 63| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 64| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 65| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 66| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 67| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 68| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 69| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 70| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 71| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 72| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 73| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 74| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 75| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 76| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 77| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 78| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 79| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 80| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 81| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 82| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 83| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 84| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 85| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 86| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 87| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 88| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 89| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 90| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 91| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 92| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 93| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 94| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 95| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 96| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 97| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 98| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 99| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 100| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 101| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 102| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 103| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 104| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 105| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 106| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 107| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 108| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 109| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 110| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 111| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 112| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 113| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 114| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 115| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 116| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 117| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 118| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 119| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 120| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 121| FITNESS: -0.13636363636363635| NR: 7

