

GENERATION: 84| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 85| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 86| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 87| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 88| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 89| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 90| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 91| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 92| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 93| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 94| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 95| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 96| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 97| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 98| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 99| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 100| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 101| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 102| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 103| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 104| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 105| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 106| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 107| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 108| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 109| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 110| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 111| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 112| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 113| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 114| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 115| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 116| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 117| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 118| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 119| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 120| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 121| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 122| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 123| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 124| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 125| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 126| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 127| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 128| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 129| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 130| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 131| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 132| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 133| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 134| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 135| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 136| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 137| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 138| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 139| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 140| FITNESS: 0.070906669546125| NR COMUNITATI: 11

